SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-EMT-001,EMT 20MM X 3 MTS,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,0,TIRA,2251.0,=E2*G2,3127.0,Sin Stock,P07872,
LT-EMT-002,ABRAZADERAS CADDY EMT 20MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,4,UN,207.0,=E3*G3,0.3,Disponible,P05565,
LT-EMT-003,TERMINAL 20MM EMT,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,0,UN,311.0,=E4*G4,0.46,Sin Stock,P05561,
LT-EMT-004,COPLA 20MM EMT,Canalización Metálica (EMT/Conduit),Coplas y Uniones,23,UN,330.0,=E5*G5,0.48,Disponible,P05563,
LT-EMT-005,CURVA 20MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,8,UN,410.0,=E6*G6,569.0,Disponible,P05567,
LT-EMT-006,EMT 25MM X 3 MTS,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,0,TIRA,2879.0,=E7*G7,3998.0,Sin Stock,P07873,
LT-EMT-007,ABRAZADERAS CADDY EMT 25MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,22,UN,268.0,=E8*G8,372.0,Disponible,P05566,
LT-EMT-008,TERMINALES 25MM EMT,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,6,UN,349.0,=E9*G9,485.0,Disponible,P05562,
LT-EMT-009,COPLA 25MM EMT,Canalización Metálica (EMT/Conduit),Coplas y Uniones,59,UN,377.0,=E10*G10,523.0,Disponible,P05564,
LT-EMT-010,CURVAS CORTAS 25MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,12,UN,622.0,=E11*G11,0.91,Disponible,P05568,
LT-EMT-011,CURVAS LARGAS 25MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,18,UN,622.0,=E12*G12,0.91,Disponible,P05568,
LT-EMT-012,EMT 32MM X 3 MTS,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,0,TIRA,4859.0,=E13*G13,6748.0,Sin Stock,P07874,
LT-EMT-013,ABRAZADERAS CADDY EMT 32MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,17,UN,307.0,=E14*G14,427.0,Disponible,P06921,
