SKU,Nombre Producto,Categoria,Subcategoria,Cantidad Bodega,Unidad,Costo Unitario CLP,Costo Total Bodega CLP,Precio Lista CLP,Estado,Codigo Proveedor,Observaciones
LT-EMT-001,EMT 20MM X 3 MTS,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,24,TIRA,2251,54024,3127,Sin Stock,P07872,
LT-EMT-002,ABRAZADERAS CADDY EMT 20MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,29,UN,207,6003,0.3,Disponible,P05565,
LT-EMT-003,TERMINAL 20MM EMT,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,11,UN,311,3421,0.46,Sin Stock,P05561,
LT-EMT-004,COPLA 20MM EMT,Canalización Metálica (EMT/Conduit),Coplas y Uniones,34,UN,330,11220,0.48,Disponible,P05563,
LT-EMT-005,CURVA 20MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,18,UN,410,7380,569,Disponible,P05567,
LT-EMT-006,EMT 25MM X 3 MTS,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,10,TIRA,2879,28790,3998,Sin Stock,P07873,
LT-EMT-007,ABRAZADERAS CADDY EMT 25MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,23,UN,268,6164,372,Disponible,P05566,
LT-EMT-008,TERMINALES 25MM EMT,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,24,UN,349,8376,485,Disponible,P05562,
LT-EMT-009,COPLA 25MM EMT,Canalización Metálica (EMT/Conduit),Coplas y Uniones,92,UN,377,34684,523,Disponible,P05564,
LT-EMT-010,CURVAS CORTAS 25MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,11,UN,622,6842,0.91,Disponible,P05568,
LT-EMT-011,CURVAS LARGAS 25MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,22,UN,622,13684,0.91,Disponible,P05568,
LT-EMT-012,EMT 32MM X 3 MTS,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,0,TIRA,4859,0,6748,Sin Stock,P07874,
LT-EMT-013,ABRAZADERAS CADDY EMT 32MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,22,UN,307,6754,427,Disponible,P06921,
LT-EMT-014,TERMINALES 32MM EMT,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,9,UN,919,8271,1277,Disponible,P06839,
LT-EMT-015,COPLA 32MM EMT,Canalización Metálica (EMT/Conduit),Coplas y Uniones,44,UN,499,21956,0.74,Disponible,P06840,
LT-EMT-016,CURVAS 32MM EMT,Canalización Metálica (EMT/Conduit),Curvas y Codos,11,UN,1125,12375,1563,Disponible,P06841,
LT-EMT-017,TK CONECTOR METALICO CURVO CONDUIT FLEX 20MM,Canalización Metálica (EMT/Conduit),Accesorios y Varios,0,UN,785,0,1090,Sin Stock,P09836,
LT-EMT-018,TK CONECTOR METALICO CURVO CONDUIT FLEX 25MM,Canalización Metálica (EMT/Conduit),Accesorios y Varios,0,UN,1138,0,1580,Sin Stock,P09837,
LT-EMT-019,TK CONECTOR METALICO CURVO CONDUIT FLEX 32MM,Canalización Metálica (EMT/Conduit),Accesorios y Varios,0,UN,1579,0,2193,Sin Stock,P09838,
LT-EMT-020,TK CONECTOR EMT A FLEXIBLE 25MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,15,UN,852,12780,1183,Disponible,P09840,SIN ROSCA
LT-EMT-021,TERMINAL FLEXIBLE  25MM,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,16,UN,349,5584,485,Disponible,P05562,SIN ROSCA
LT-EMT-022,ABRAZADERA CADDY 40MM,Canalización Metálica (EMT/Conduit),Abrazaderas y Fijación de Tubos,14,UN,0,0,0,Disponible,,
LT-EMT-023,TERMINALES 50MM EMT,Canalización Metálica (EMT/Conduit),Terminales y Boquillas,16,UN,734,11744,1020,Disponible,P04470,
LT-EMT-024,ABRAZADERAS CADDY EMT 50MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,1,UN,0,0,0,Disponible,,
LT-EMT-025,COPLA EMT 50MM,Canalización Metálica (EMT/Conduit),Tuberías y Conductos,3,UN,0,0,0,Disponible,,
